filename,width,height,class,xmin,ymin,xmax,ymax
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,person,394,528,466,724
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,pole,528,0,618,726
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,bollard,43,613,177,1069
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,pole,1199,83,1240,588
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,pole,633,0,673,701
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,bollard,907,564,937,688
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,tree_trunk,982,388,1016,633
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,car,351,564,496,662
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,car,743,584,872,625
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,car,1057,509,1208,627
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,car,0,589,41,658
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,car,47,589,180,654
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,person,875,499,925,646
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,bollard,364,614,437,869
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,pole,1315,0,1408,664
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,traffic_light,501,132,565,315
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,truck,175,586,290,646
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,tree_trunk,1427,0,1531,581
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,bollard,507,600,554,784
wheelchair_14/MP_KSC_B004207.jpg,1920,1080,person,931,508,975,639
wheelchair_14/MP_KSC_B004212.jpg,1920,1080,person,1184,787,1263,969
wheelchair_14/MP_KSC_B004212.jpg,1920,1080,person,1352,798,1410,993
wheelchair_14/MP_KSC_B004212.jpg,1920,1080,person,1069,771,1145,993
wheelchair_14/MP_KSC_B004212.jpg,1920,1080,bollard,1301,911,1338,1055
wheelchair_14/MP_KSC_B004212.jpg,1920,1080,person,1419,819,1476,989
wheelchair_14/MP_KSC_B004212.jpg,1920,1080,traffic_light,790,248,894,478
wheelchair_14/MP_KSC_B004212.jpg,1920,1080,pole,1756,161,1830,1019
wheelchair_14/MP_KSC_B004212.jpg,1920,1080,person,1636,847,1703,1034
wheelchair_14/MP_KSC_B004212.jpg,1920,1080,traffic_light,1762,479,1847,523
wheelchair_14/MP_KSC_B004212.jpg,1920,1080,bus,1659,808,1920,966
wheelchair_14/MP_KSC_B004212.jpg,1920,1080,traffic_sign,1706,450,1744,520
wheelchair_14/MP_KSC_B004212.jpg,1920,1080,bollard,1618,920,1646,1040
wheelchair_14/MP_KSC_B004212.jpg,1920,1080,traffic_light,1601,535,1672,566
wheelchair_14/MP_KSC_B004212.jpg,1920,1080,truck,1,269,1060,992
wheelchair_14/MP_KSC_B004212.jpg,1920,1080,person,1681,847,1760,1005
